,20,25,30,35,40,45,50,55,60
220,NO DATA,NO DATA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
230,NO DATA,NO DATA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
240,NO DATA,NO DATA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
250,NO DATA,NO DATA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
260,NO DATA,NO DATA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
270,NO DATA,NO DATA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
280,NO DATA,NO DATA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290,NO DATA,NO DATA,N/A,N/A,N/A,N/A,200,200,195
300,NO DATA,NO DATA,N/A,N/A,N/A,200,192,190,182
310,NO DATA,NO DATA,N/A,199,190,187,181,180,177
320,NO DATA,NO DATA,200,187,181,179,175,175,169
330,NO DATA,NO DATA,190,180,172,171,168,165,160
340,NO DATA,NO DATA,181,173,167,165,161,160,157
350,NO DATA,NO DATA,177,169,161,160,158,157,151
360,NO DATA,NO DATA,170,162,158,155,153,153,149
370,NO DATA,NO DATA,163,159,154,151,149,148,145
380,NO DATA,NO DATA,160,156,150,148,146,145,141
390,NO DATA,NO DATA,158,151,148,145,142,142,139
400,NO DATA,NO DATA,154,149,143,142,139,139,138
410,NO DATA,NO DATA,150,145,141,140,138,138,136
420,NO DATA,NO DATA,149,142,139,138,136,136,135
