GWT,15 WS or 20 WS,,20 WS SEF/SIS OFF ,
,Rotate,Takeoff,Rotate,Takeoff
210,119,134,131,146
220,123,138,135,150
230,126,141,138,153
240,129,144,141,156
250,132,147,144,159
260,135,150,147,162
270,138,153,150,165
280,141,156,153,168
290,143,158,155,170
300,146,161,158,173
310,149,164,161,176
320,151,166,163,178
330,154,169,166,181
340,156,171,168,183
350,159,174,171,186
360,161,176,173,188
370,164,179,176,191
380,166,181,178,193
390,168,183,180,195
400,171,186,183,198
410,173,188,185,200
420,175,190,187,202
